std Years = 1981-2010, extent scaled 1e-6 km
DOY, AverageExtent, StdDeviation, 10th, 25th, 50th, 75th, 90th
2010-01-01, 13.778, 0.407, 13.183, 13.479, 13.823, 14.095, 14.257
2010-01-02, 13.842, 0.434, 13.201, 13.538, 13.886, 14.164, 14.321
2010-01-03, 13.891, 0.443, 13.264, 13.502, 13.884, 14.283, 14.369
2010-01-04, 13.93, 0.443, 13.284, 13.59, 13.925, 14.288, 14.417
2010-01-05, 13.978, 0.437, 13.349, 13.617, 14.036, 14.304, 14.47
2010-01-06, 14.028, 0.447, 13.388, 13.645, 14.139, 14.359, 14.512
2010-01-07, 14.091, 0.44, 13.473, 13.761, 14.188, 14.419, 14.547
2010-01-08, 14.132, 0.451, 13.454, 13.846, 14.303, 14.434, 14.595
2010-01-09, 14.17, 0.455, 13.513, 13.797, 14.31, 14.493, 14.64
2010-01-10, 14.196, 0.461, 13.57, 13.915, 14.24, 14.507, 14.696
2010-01-11, 14.245, 0.452, 13.666, 13.917, 14.265, 14.523, 14.744
2010-01-12, 14.275, 0.464, 13.645, 13.98, 14.332, 14.593, 14.787
2010-01-13, 14.328, 0.452, 13.721, 14.06, 14.398, 14.623, 14.833
2010-01-14, 14.369, 0.462, 13.746, 14.042, 14.401, 14.724, 14.863
2010-01-15, 14.405, 0.468, 13.8, 14.064, 14.449, 14.743, 14.975
2010-01-16, 14.448, 0.452, 13.812, 14.16, 14.476, 14.787, 14.985
2010-01-17, 14.489, 0.468, 13.812, 14.213, 14.526, 14.854, 15.012
2010-01-18, 14.527, 0.494, 13.821, 14.253, 14.602, 14.932, 15.071
2010-01-19, 14.581, 0.475, 13.889, 14.324, 14.638, 14.977, 15.155
2010-01-20, 14.619, 0.488, 13.956, 14.362, 14.715, 15.018, 15.185
2010-01-21, 14.64, 0.51, 13.95, 14.285, 14.698, 15.035, 15.246
2010-01-22, 14.677, 0.501, 14.002, 14.376, 14.68, 15.072, 15.289
2010-01-23, 14.719, 0.489, 14.067, 14.437, 14.731, 15.069, 15.339
2010-01-24, 14.748, 0.486, 14.153, 14.483, 14.717, 15.049, 15.373
2010-01-25, 14.781, 0.494, 14.149, 14.585, 14.773, 15.11, 15.387
2010-01-26, 14.813, 0.509, 14.129, 14.539, 14.783, 15.192, 15.388
2010-01-27, 14.852, 0.506, 14.213, 14.549, 14.803, 15.248, 15.442
2010-01-28, 14.899, 0.518, 14.2, 14.636, 14.88, 15.287, 15.512
2010-01-29, 14.92, 0.511, 14.206, 14.636, 14.892, 15.339, 15.548
2010-01-30, 14.953, 0.517, 14.262, 14.681, 14.954, 15.351, 15.57
2010-01-31, 14.989, 0.521, 14.223, 14.712, 14.963, 15.388, 15.633
2010-02-01, 15.04, 0.518, 14.221, 14.743, 15.04, 15.416, 15.644
2010-02-02, 15.075, 0.503, 14.36, 14.809, 15.076, 15.425, 15.655
2010-02-03, 15.089, 0.504, 14.32, 14.806, 15.147, 15.45, 15.67
2010-02-04, 15.098, 0.501, 14.309, 14.789, 15.171, 15.429, 15.669
2010-02-05, 15.122, 0.493, 14.313, 14.858, 15.222, 15.481, 15.663
2010-02-06, 15.136, 0.492, 14.316, 14.849, 15.173, 15.507, 15.664
2010-02-07, 15.158, 0.486, 14.341, 14.896, 15.204, 15.482, 15.661
2010-02-08, 15.188, 0.482, 14.348, 14.96, 15.229, 15.519, 15.733
2010-02-09, 15.212, 0.457, 14.434, 14.985, 15.266, 15.535, 15.781
2010-02-10, 15.231, 0.46, 14.434, 15.019, 15.261, 15.567, 15.792
2010-02-11, 15.239, 0.447, 14.468, 15.071, 15.301, 15.522, 15.799
2010-02-12, 15.249, 0.436, 14.511, 15.082, 15.303, 15.514, 15.805
2010-02-13, 15.267, 0.429, 14.563, 15.038, 15.317, 15.494, 15.791
2010-02-14, 15.282, 0.426, 14.641, 15.052, 15.364, 15.507, 15.737
2010-02-15, 15.303, 0.422, 14.68, 15.069, 15.382, 15.548, 15.788
2010-02-16, 15.32, 0.438, 14.695, 15.043, 15.385, 15.573, 15.848
2010-02-17, 15.362, 0.439, 14.797, 15.067, 15.42, 15.605, 15.905
2010-02-18, 15.377, 0.457, 14.823, 15.102, 15.42, 15.624, 15.96
2010-02-19, 15.388, 0.469, 14.757, 15.166, 15.472, 15.649, 15.947
2010-02-20, 15.417, 0.475, 14.739, 15.178, 15.475, 15.724, 15.931
2010-02-21, 15.437, 0.481, 14.722, 15.212, 15.483, 15.721, 15.956
2010-02-22, 15.451, 0.479, 14.787, 15.218, 15.467, 15.724, 15.981
2010-02-23, 15.465, 0.48, 14.801, 15.229, 15.466, 15.7, 16.027
2010-02-24, 15.478, 0.48, 14.804, 15.346, 15.498, 15.738, 16.03
2010-02-25, 15.475, 0.481, 14.795, 15.272, 15.496, 15.681, 16.09
2010-02-26, 15.486, 0.483, 14.764, 15.237, 15.527, 15.664, 16.056
2010-02-26, 15.511, 0.468, 14.812, 15.312, 15.542, 15.719, 16.046
2010-02-28, 15.502, 0.435, 14.91, 15.223, 15.556, 15.778, 16.064
2010-03-01, 15.514, 0.426, 15.01, 15.24, 15.558, 15.76, 16.05
2010-03-02, 15.497, 0.433, 15.017, 15.224, 15.478, 15.738, 16.026
2010-03-03, 15.496, 0.431, 15.032, 15.232, 15.478, 15.741, 16.029
2010-03-04, 15.492, 0.422, 14.993, 15.257, 15.449, 15.71, 16.031
2010-03-05, 15.497, 0.413, 15.026, 15.246, 15.439, 15.759, 16.004
2010-03-06, 15.486, 0.418, 15.059, 15.251, 15.444, 15.735, 16.038
2010-03-07, 15.494, 0.418, 14.953, 15.276, 15.532, 15.721, 16.086
2010-03-08, 15.5, 0.408, 14.982, 15.289, 15.483, 15.707, 16.121
2010-03-09, 15.502, 0.408, 14.886, 15.283, 15.487, 15.743, 16.116
2010-03-10, 15.516, 0.419, 14.944, 15.28, 15.489, 15.74, 16.15
2010-03-11, 15.499, 0.447, 14.979, 15.228, 15.474, 15.749, 16.151
2010-03-12, 15.507, 0.465, 14.892, 15.221, 15.538, 15.815, 16.091
2010-03-13, 15.497, 0.482, 14.845, 15.236, 15.511, 15.855, 16.045
2010-03-14, 15.467, 0.481, 14.872, 15.176, 15.499, 15.845, 16.023
2010-03-15, 15.458, 0.468, 14.888, 15.189, 15.496, 15.819, 15.986
2010-03-16, 15.444, 0.45, 14.922, 15.143, 15.483, 15.835, 15.962
2010-03-17, 15.423, 0.434, 14.936, 15.159, 15.487, 15.773, 15.924
2010-03-18, 15.405, 0.447, 14.904, 15.134, 15.494, 15.695, 15.877
2010-03-19, 15.397, 0.455, 14.894, 15.127, 15.454, 15.677, 15.844
2010-03-20, 15.393, 0.448, 14.903, 15.138, 15.451, 15.721, 15.825
2010-03-21, 15.373, 0.438, 14.908, 15.087, 15.402, 15.723, 15.792
2010-03-22, 15.37, 0.461, 14.803, 15.11, 15.472, 15.728, 15.865
2010-03-23, 15.362, 0.458, 14.786, 15.168, 15.489, 15.711, 15.794
2010-03-24, 15.349, 0.451, 14.837, 15.125, 15.473, 15.625, 15.761
2010-03-25, 15.342, 0.446, 14.847, 15.119, 15.453, 15.621, 15.769
2010-03-26, 15.325, 0.438, 14.872, 15.138, 15.387, 15.576, 15.766
2010-03-27, 15.308, 0.443, 14.857, 15.092, 15.374, 15.555, 15.791
2010-03-28, 15.312, 0.442, 14.798, 15.075, 15.389, 15.587, 15.812
2010-03-29, 15.298, 0.441, 14.765, 15.051, 15.391, 15.605, 15.766
2010-03-30, 15.281, 0.441, 14.728, 15.068, 15.397, 15.544, 15.715
2010-03-31, 15.24, 0.432, 14.697, 15.087, 15.313, 15.513, 15.668
2010-04-01, 15.192, 0.435, 14.679, 14.99, 15.27, 15.478, 15.627
2010-04-02, 15.163, 0.445, 14.666, 14.932, 15.197, 15.465, 15.583
2010-04-03, 15.13, 0.442, 14.607, 14.92, 15.128, 15.455, 15.579
2010-04-04, 15.1, 0.427, 14.523, 14.822, 15.111, 15.415, 15.56
2010-04-05, 15.078, 0.429, 14.465, 14.795, 15.097, 15.377, 15.535
2010-04-06, 15.036, 0.435, 14.398, 14.763, 15.09, 15.37, 15.516
2010-04-07, 14.995, 0.428, 14.37, 14.783, 15.064, 15.292, 15.537
2010-04-08, 14.953, 0.444, 14.337, 14.713, 15.002, 15.282, 15.494
2010-04-09, 14.92, 0.451, 14.334, 14.664, 14.89, 15.255, 15.495
2010-04-10, 14.884, 0.462, 14.314, 14.62, 14.859, 15.26, 15.485
2010-04-11, 14.83, 0.464, 14.197, 14.598, 14.749, 15.245, 15.412
2010-04-12, 14.794, 0.472, 14.123, 14.54, 14.711, 15.18, 15.391
2010-04-13, 14.748, 0.48, 14.119, 14.468, 14.701, 15.105, 15.307
2010-04-14, 14.72, 0.473, 14.029, 14.484, 14.658, 15.094, 15.276
2010-04-15, 14.684, 0.48, 14.008, 14.379, 14.649, 15.072, 15.208
2010-04-16, 14.646, 0.479, 14.013, 14.326, 14.617, 15.048, 15.184
2010-04-17, 14.596, 0.482, 13.994, 14.281, 14.602, 14.962, 15.124
2010-04-18, 14.547, 0.464, 13.967, 14.199, 14.561, 14.928, 15.048
2010-04-19, 14.531, 0.441, 13.991, 14.228, 14.55, 14.856, 15.071
2010-04-20, 14.505, 0.447, 13.949, 14.195, 14.523, 14.848, 15.04
2010-04-21, 14.465, 0.435, 13.946, 14.153, 14.503, 14.775, 14.918
2010-04-22, 14.427, 0.43, 13.874, 14.098, 14.477, 14.709, 14.918
2010-04-23, 14.384, 0.437, 13.879, 14.065, 14.443, 14.698, 14.84
2010-04-24, 14.341, 0.428, 13.783, 14.057, 14.425, 14.666, 14.762
2010-04-25, 14.29, 0.436, 13.74, 13.956, 14.345, 14.638, 14.72
2010-04-26, 14.244, 0.435, 13.664, 13.936, 14.298, 14.575, 14.648
2010-04-27, 14.205, 0.443, 13.616, 13.858, 14.256, 14.534, 14.632
2010-04-28, 14.16, 0.437, 13.568, 13.811, 14.187, 14.473, 14.595
2010-04-29, 14.093, 0.425, 13.556, 13.765, 14.109, 14.356, 14.555
2010-04-30, 13.973, 0.439, 13.366, 13.619, 14.036, 14.274, 14.434
2010-05-01, 13.901, 0.438, 13.337, 13.548, 13.922, 14.196, 14.325
2010-05-02, 13.861, 0.437, 13.361, 13.544, 13.874, 14.175, 14.32
2010-05-03, 13.824, 0.435, 13.31, 13.521, 13.862, 14.131, 14.298
2010-05-04, 13.772, 0.433, 13.248, 13.466, 13.786, 14.102, 14.25
2010-05-05, 13.734, 0.42, 13.24, 13.45, 13.778, 14.059, 14.16
2010-05-06, 13.684, 0.411, 13.204, 13.422, 13.691, 14.023, 14.115
2010-05-07, 13.647, 0.406, 13.196, 13.342, 13.663, 13.982, 14.098
2010-05-08, 13.598, 0.414, 13.155, 13.332, 13.594, 13.951, 14.087
2010-05-09, 13.56, 0.414, 13.123, 13.247, 13.534, 13.926, 14.082
2010-05-10, 13.514, 0.422, 13.045, 13.218, 13.457, 13.887, 14.074
2010-05-11, 13.476, 0.414, 13.071, 13.177, 13.412, 13.828, 14.011
2010-05-12, 13.434, 0.413, 13.039, 13.111, 13.35, 13.76, 13.913
2010-05-13, 13.399, 0.41, 12.991, 13.084, 13.312, 13.75, 13.882
2010-05-14, 13.352, 0.406, 12.944, 13.057, 13.286, 13.684, 13.818
2010-05-15, 13.292, 0.404, 12.852, 13.025, 13.227, 13.595, 13.754
2010-05-16, 13.249, 0.399, 12.775, 12.993, 13.186, 13.529, 13.739
2010-05-17, 13.199, 0.393, 12.685, 12.952, 13.15, 13.453, 13.728
2010-05-18, 13.166, 0.377, 12.716, 12.89, 13.144, 13.442, 13.667
2010-05-19, 13.12, 0.374, 12.737, 12.865, 13.075, 13.386, 13.602
2010-05-20, 13.061, 0.382, 12.628, 12.77, 13.059, 13.31, 13.507
2010-05-21, 13.011, 0.38, 12.548, 12.709, 13.024, 13.29, 13.417
2010-05-22, 12.971, 0.387, 12.483, 12.697, 12.953, 13.271, 13.417
2010-05-23, 12.931, 0.387, 12.426, 12.674, 12.953, 13.188, 13.418
2010-05-24, 12.899, 0.392, 12.343, 12.6, 12.911, 13.151, 13.382
2010-05-25, 12.858, 0.407, 12.32, 12.524, 12.86, 13.121, 13.362
2010-05-26, 12.824, 0.407, 12.324, 12.518, 12.818, 13.101, 13.338
2010-05-27, 12.789, 0.401, 12.297, 12.484, 12.791, 13.078, 13.308
2010-05-28, 12.747, 0.394, 12.286, 12.429, 12.767, 13.048, 13.276
2010-05-29, 12.698, 0.39, 12.224, 12.383, 12.733, 12.982, 13.236
2010-05-30, 12.644, 0.38, 12.17, 12.297, 12.649, 12.967, 13.142
2010-05-31, 12.529, 0.389, 12.028, 12.228, 12.556, 12.817, 13.044
2010-06-01, 12.455, 0.392, 11.958, 12.155, 12.462, 12.741, 13.001
2010-06-02, 12.405, 0.4, 11.906, 12.111, 12.435, 12.728, 12.94
2010-06-03, 12.357, 0.401, 11.854, 12.085, 12.394, 12.69, 12.866
2010-06-04, 12.316, 0.4, 11.805, 11.988, 12.339, 12.643, 12.791
2010-06-05, 12.263, 0.413, 11.747, 11.914, 12.279, 12.597, 12.762
2010-06-06, 12.219, 0.406, 11.728, 11.884, 12.235, 12.548, 12.732
2010-06-07, 12.174, 0.413, 11.662, 11.861, 12.222, 12.478, 12.703
2010-06-08, 12.13, 0.417, 11.622, 11.829, 12.216, 12.414, 12.675
2010-06-09, 12.087, 0.417, 11.568, 11.786, 12.156, 12.352, 12.584
2010-06-10, 12.041, 0.424, 11.495, 11.748, 12.088, 12.342, 12.494
2010-06-11, 12.013, 0.424, 11.533, 11.705, 12.067, 12.311, 12.47
2010-06-12, 11.956, 0.423, 11.467, 11.696, 11.999, 12.286, 12.428
2010-06-13, 11.9, 0.436, 11.406, 11.57, 11.976, 12.245, 12.355
2010-06-14, 11.853, 0.448, 11.353, 11.536, 11.89, 12.207, 12.35
2010-06-15, 11.797, 0.459, 11.26, 11.521, 11.815, 12.158, 12.324
2010-06-16, 11.74, 0.466, 11.184, 11.426, 11.714, 12.114, 12.253
2010-06-17, 11.681, 0.491, 11.13, 11.344, 11.662, 12.05, 12.247
2010-06-18, 11.617, 0.492, 11.064, 11.326, 11.59, 12.005, 12.183
2010-06-19, 11.558, 0.513, 10.963, 11.277, 11.543, 11.974, 12.166
2010-06-20, 11.495, 0.529, 10.908, 11.161, 11.471, 11.967, 12.136
2010-06-21, 11.439, 0.547, 10.85, 11.057, 11.398, 11.904, 12.069
2010-06-22, 11.394, 0.559, 10.788, 10.958, 11.376, 11.87, 12.034
2010-06-23, 11.317, 0.581, 10.694, 10.878, 11.342, 11.832, 11.968
2010-06-24, 11.256, 0.594, 10.614, 10.853, 11.283, 11.794, 11.924
2010-06-25, 11.2, 0.613, 10.542, 10.767, 11.197, 11.757, 11.903
2010-06-26, 11.133, 0.625, 10.396, 10.762, 11.134, 11.693, 11.872
2010-06-27, 11.056, 0.65, 10.279, 10.659, 11.093, 11.649, 11.798
2010-06-28, 10.986, 0.659, 10.223, 10.617, 11.01, 11.55, 11.763
2010-06-29, 10.91, 0.639, 10.185, 10.571, 10.9, 11.472, 11.652
2010-06-30, 10.739, 0.677, 9.937, 10.339, 10.83, 11.318, 11.569
2010-07-01, 10.63, 0.671, 9.84, 10.317, 10.668, 11.239, 11.385
2010-07-02, 10.57, 0.675, 9.785, 10.253, 10.617, 11.148, 11.345
2010-07-03, 10.508, 0.688, 9.665, 10.169, 10.555, 11.145, 11.286
2010-07-04, 10.428, 0.696, 9.6, 10.074, 10.477, 11.048, 11.244
2010-07-05, 10.333, 0.716, 9.467, 9.928, 10.318, 10.976, 11.183
2010-07-06, 10.254, 0.711, 9.363, 9.81, 10.216, 10.887, 11.104
2010-07-07, 10.186, 0.714, 9.268, 9.738, 10.175, 10.834, 11.054
2010-07-08, 10.117, 0.721, 9.149, 9.705, 10.106, 10.777, 10.991
2010-07-09, 10.031, 0.723, 9.008, 9.566, 10.005, 10.68, 10.919
2010-07-10, 9.948, 0.722, 8.972, 9.51, 9.889, 10.594, 10.817
2010-07-11, 9.874, 0.724, 8.961, 9.413, 9.819, 10.529, 10.727
2010-07-12, 9.776, 0.73, 8.787, 9.299, 9.708, 10.433, 10.664
2010-07-13, 9.691, 0.724, 8.691, 9.253, 9.657, 10.264, 10.585
2010-07-14, 9.591, 0.723, 8.571, 9.173, 9.526, 10.179, 10.501
2010-07-15, 9.498, 0.729, 8.509, 9.06, 9.488, 10.13, 10.361
2010-07-16, 9.414, 0.712, 8.431, 9.037, 9.374, 10.061, 10.269
2010-07-17, 9.33, 0.715, 8.374, 8.962, 9.302, 9.947, 10.193
2010-07-18, 9.231, 0.715, 8.247, 8.919, 9.214, 9.806, 10.079
2010-07-19, 9.149, 0.707, 8.228, 8.797, 9.182, 9.668, 10.006
2010-07-20, 9.055, 0.726, 8.015, 8.709, 9.064, 9.628, 9.903
2010-07-21, 8.967, 0.726, 7.941, 8.653, 9.012, 9.568, 9.811
2010-07-22, 8.873, 0.74, 7.854, 8.478, 8.939, 9.466, 9.718
2010-07-23, 8.792, 0.738, 7.76, 8.413, 8.876, 9.395, 9.67
2010-07-24, 8.698, 0.746, 7.725, 8.301, 8.808, 9.326, 9.621
2010-07-25, 8.623, 0.746, 7.667, 8.217, 8.737, 9.247, 9.529
2010-07-26, 8.545, 0.751, 7.507, 8.088, 8.654, 9.155, 9.419
2010-07-27, 8.456, 0.743, 7.465, 7.956, 8.535, 9.096, 9.317
2010-07-28, 8.368, 0.731, 7.374, 7.916, 8.448, 8.946, 9.193
2010-07-29, 8.284, 0.73, 7.273, 7.876, 8.357, 8.884, 9.102
2010-07-30, 8.202, 0.736, 7.16, 7.757, 8.306, 8.851, 9.017
2010-07-31, 8.114, 0.743, 7.096, 7.613, 8.223, 8.755, 8.964
2010-08-01, 8.026, 0.744, 7.031, 7.505, 8.138, 8.667, 8.892
2010-08-02, 7.958, 0.732, 7.003, 7.463, 8.033, 8.57, 8.816
2010-08-03, 7.902, 0.711, 7.012, 7.48, 8.007, 8.473, 8.711
2010-08-04, 7.827, 0.723, 6.908, 7.34, 8.007, 8.381, 8.645
2010-08-05, 7.759, 0.74, 6.763, 7.265, 7.943, 8.29, 8.556
2010-08-06, 7.678, 0.749, 6.702, 7.149, 7.855, 8.236, 8.511
