lat1, lon1, lat2, lon2
46.31, 131.44, -23.01, -55.86
-6.10, 15.62, -87.18, 29.22
-10.29, -85.23, -32.66, -125.70
38.71, 47.37, 22.66, -84.76
45.25, -137.50, 34.86, -145.22
11.38, 71.31, -13.75, 122.37
-89.62, 136.08, 8.14, -51.18
13.18, 23.22, -44.50, 172.35
-45.45, -155.57, 42.29, 21.44
-76.74, 8.40, -15.44, 137.74
-4.36, -164.98, 62.62, -76.08
-57.31, 29.17, -4.82, 99.14
54.69, -135.04, -41.43, -3.40
75.37, 108.23, 7.35, -108.70
78.56, 75.36, 15.22, -177.32
-49.37, -72.58, -72.61, 72.08
15.50, -0.62, -68.45, 47.55
63.65, 74.43, -21.21, 35.27
-40.06, -178.08, -62.94, 141.47
-72.69, 53.42, 11.31, 69.67
27.84, -106.05, -50.70, -83.41
2.69, -53.03, -60.76, 132.77
-45.90, -159.85, 52.27, -103.70
-0.52, 67.25, -56.22, -26.20
38.90, 131.33, 52.66, -103.50
-75.27, 13.77, 71.05, -155.88
79.99, -172.49, -32.74, 55.17
46.95, -65.88, 67.63, 32.95
-80.56, -78.59, 8.43, 19.61
40.63, -159.79, -59.86, -89.80
89.53, -108.02, 87.11, 34.09
-84.16, 53.75, -44.12, 125.62
-65.11, 118.02, -11.53, 55.38
17.57, 78.25, 72.24, -158.09
-15.61, 41.49, 22.51, 45.54
44.69, 32.32, -5.62, -48.48
-32.19, -76.79, -26.11, -62.85
22.53, -137.38, -3.79, -177.02
7.29, 144.45, 27.52, -12.26
-71.41, -110.36, 5.21, 65.66
36.23, 96.82, 78.91, 6.86
70.14, -105.61, -34.21, 120.45
86.91, 120.35, -48.91, -62.63
24.29, 98.13, -48.57, -150.75
46.18, -72.26, 35.07, -108.12
14.25, -75.97, -22.52, -34.08
86.77, -10.65, -74.37, -127.23
-41.02, 134.00, 57.53, 107.28
-40.85, 74.20, 69.84, 0.67
50.17, 59.45, 69.75, -161.22
2.64, -71.31, 15.16, -95.92
-36.47, -83.41, 15.40, 89.24
-0.81, -55.48, 50.43, -49.47
12.47, -58.98, 35.72, -107.50
-18.55, -102.31, 40.91, 72.24
-69.07, 66.02, -12.85, 168.71
-34.97, 120.77, -6.60, -167.43
-55.74, 147.79, 74.98, 34.02
54.21, -113.30, -63.03, 81.56
63.79, -117.99, 22.83, 2.57
60.85, 53.48, 65.87, -149.26
-9.74, 97.80, 55.71, -41.68
-7.20, -79.91, 68.68, -78.47
72.77, 82.31, 67.17, 139.43
-59.93, -5.25, -60.88, -63.58
-42.16, 128.11, 25.30, 160.45
34.90, 104.14, 48.49, 34.81
49.17, 142.49, -25.04, -46.32
6.79, -18.57, 26.75, 173.74
52.44, -4.02, 3.83, -158.37
-16.66, 164.99, -14.61, 97.70
81.22, 155.65, -77.62, -124.19
-21.31, 61.59, 35.45, 167.02
30.98, 115.62, -14.98, 14.27
-87.08, -163.02, 13.17, -10.60
-19.11, -59.24, -43.82, 43.89
15.65, 8.63, -33.53, 120.93
71.33, 56.71, -76.71, -118.21
84.00, -170.87, -61.74, 57.84
38.14, 94.22, 67.29, -27.28
64.15, -83.41, 37.36, 137.20
-70.42, 146.05, 59.91, 27.54
-84.99, -78.15, 80.05, -167.36
71.99, -153.12, -45.83, -143.87
52.17, 126.07, 32.76, 38.12
2.77, -34.90, -6.12, 30.15
81.91, 19.33, 58.63, -158.18
20.57, 131.17, 73.19, 93.51
79.54, -36.66, -82.37, 0.81
-55.31, -44.10, -34.30, -92.06
-29.22, 109.87, 11.84, 165.77
78.46, 107.18, -47.33, 154.36
-31.37, -153.20, 84.28, -103.56
28.99, 76.99, 7.53, -10.17
-61.48, -89.94, -71.39, 137.18
84.69, 21.28, 71.52, 108.76
-39.73, -11.81, -71.60, -38.16
-16.37, -125.39, -42.58, -143.44
-8.31, 65.58, -63.30, 67.32
24.26, -80.75, -59.22, 95.88
