Year  Mon  Ver  TotalArc  Okhotsk   Bering   Hudson   Baffin  Grnland  BarKara  ArctOcn  CanArch   StLawr
1978   11  v1.1  12056641    58272    55046  1115196   796188   669173  1505709  7091630   750859     6610
1978   12  v1.1  14131923   746259   302831  1231642   952209   953496  1894468  7158209   750859    30503
1979    1  v1.1  15604191  1411324   350852  1231642  1114737  1083899  2055581  7158209   750859   161557
1979    2  v1.1  16378929  1503101   573013  1231642  1219210  1125963  2166203  7158209   750859   265406
1979    3  v1.1  16521089  1598093   697351  1231642  1312683  1078959  2157832  7158209   750859   229729
1979    4  v1.1  15561238  1396484   465047  1231642  1135469   959981  2174720  7158209   750859    65359
1979    5  v1.1  14085613   607627   245820  1231642   983827   831981  2147706  7158209   750859    30134
1979    6  v1.1  12653185    84164    28739  1189018   819711   747962  1937167  7084556   750859    11006
1979    7  v1.1  10521427        0     5411   435777   545435   549304  1327008  6919147   739343        0
1979    8  v1.1   8183421        0        0   140046   137267   336343   516094  6374454   679214        0
1979    9  v1.1   7219913        0     4209    35694    58401   290599   181443  6005574   643989        0
1979   10  v1.1   9428492    39678    13818   151016   257125   402196   991402  6822394   750859        0
1979   11  v1.1  11185959   104584    87726   536576   670659   524559  1378772  7116872   750859     6111
1979   12  v1.1  13575098   562890   453672  1231642   969995   648921  1696416  7158209   750859    32040
1980    1  v1.1  15053607  1079407   687809  1231642  1135336   821539  1903280  7158209   750859   103169
1980    2  v1.1  16074814  1433281   838515  1231642  1225782   967408  1956700  7158209   750859   216159
1980    3  v1.1  16207072  1459739   861884  1231642  1306363   981071  1933160  7158209   750859   248561
1980    4  v1.1  15546525  1310870   762511  1231642  1228928   900486  1917562  7158209   750859    72895
1980    5  v1.1  14080852   747452   492626  1231642  1039805   753372  1801984  7158209   750859    23605
1980    6  v1.1  12372595   138995    59004  1170085   818862   677380  1617601  7135093   750859     4713
1980    7  v1.1  10433081        0     5416   443298   554595   526801  1316170  6851289   735509        0
1980    8  v1.1   8082016        0        0   113725   110727   402714   728961  6116431   609455        0
1980    9  v1.1   7856976        0     3007    14046    44785   418076   583459  6180057   613543        0
1980   10  v1.1   9485305    24782    10847    67410   280998   527889   984343  6913292   675740        0
1980   11  v1.1  11721403    56437   107890   687081   618994   748574  1573506  7153308   750859     5607
1980   12  v1.1  13752372   272796   506818  1231642   901954   928421  1872062  7158209   750859    43199
1981    1  v1.1  15109158   853859   695183  1231642  1166263  1041328  1888173  7158209   750859   156515
1981    2  v1.1  15748975  1238812   783980  1231642  1291604   948380  1861287  7158209   750859   224379
1981    3  v1.1  15703794  1332039   793577  1231642  1118365   946081  2060621  7158209   750859    56104
1981    4  v1.1  15192945  1072748   561577  1231642  1170623   906938  2113854  7158209   750859    42024
1981    5  v1.1  13921115   269435   291688  1231642  1059863   929193  2123784  7158209   750859    28634
1981    6  v1.1  12621552    61746    32999  1184436   805656   867342  1861005  7075826   728340     4199
1981    7  v1.1  10667981        0     5414   648587   435250   733057  1339179  6839976   666515        0
1981    8  v1.1   7886965        0        0    37993    73898   520928   721684  6008318   524142        0
1981    9  v1.1   7250748        0     1204     9740    50195   405876   555305  5809696   418730        0
1981   10  v1.1   9214381    32874     6051    33883   140318   587511   846347  6875428   691965        0
1981   11  v1.1  11206113    59779   181296   395171   678519   722978  1240015  7158209   750859     8113
1981   12  v1.1  13776309   386246   431572  1231102   909768   991006  1803078  7158209   750859    23900
1982    1  v1.1  15340865   979043   561616  1231642  1108568  1122072  2050431  7158209   750859    78022
1982    2  v1.1  16135234  1227013   623306  1231642  1440932  1104876  2081707  7158209   750859   220520
1982    3  v1.1  16227629  1328411   652106  1231642  1503784  1072573  2050929  7158209   750859   262984
1982    4  v1.1  15624536  1124278   641367  1231642  1369514  1058749  2045818  7158209   750859    80150
1982    5  v1.1  14180382   513695   454459  1231642  1229920   856606  1879034  7158209   750859    35039
1982    6  v1.1  12749741    74591    52358  1230537  1004000   767940  1761330  7102561   749579     6284
1982    7  v1.1  10805880        0     6013   706055   577600   684542  1364310  6736980   730377        0
1982    8  v1.1   8300662        0        0   103521   140581   417717   698769  6338478   601594        0
1982    9  v1.1   7454783        0     1204    15308    91057   450623   518108  5772662   605819        0
1982   10  v1.1  10019317    30997    15036   110734   402887   529638  1283771  6895391   750859        0
1982   11  v1.1  11959292    65940    95876   895522   781964   652865  1561375  7138573   750859     7595
1982   12  v1.1  13871330   670521   347556  1231642  1209579   823867  1590171  7158209   750859    25444
1983    1  v1.1  15159948   999381   688918  1231642  1598733   840885  1664144  7158209   750859   105776
1983    2  v1.1  16095113  1383001   796270  1231642  1677596   983940  1746978  7158209   750859   179663
1983    3  v1.1  16185533  1392583   825113  1231642  1745653   954387  1753982  7158209   750859   168800
1983    4  v1.1  15363742  1010227   732415  1231642  1651824   828782  1807397  7158209   750859    77143
1983    5  v1.1  13566764   219315   331624  1231642  1340111   767294  1684923  7158209   750859    26037
1983    6  v1.1  12387795    85123    41549  1227066  1007029   688263  1438390  7148153   746458     5762
1983    7  v1.1  10945685        0     6613   949390   706301   526180  1050979  6960441   745778        0
1983    8  v1.1   8392355        0        0   215103   292800   391493   563769  6304209   624979        0
1983    9  v1.1   7540600        0     1806   116459   143084   387002   254164  6186995   451089        0
1983   10  v1.1   9689444    47279    29425   174702   441279   506760   692998  7047375   749623        0
1983   11  v1.1  11677528    50480   212204   581879   828257   673799  1395986  7158209   750859     8094
1983   12  v1.1  13487417   304003   267506  1231642  1153262   778901  1714694  7158209   750859    30476
1984    1  v1.1  14691196   633607   466103  1231642  1685875   710057  1716735  7158209   750859   171680
1984    2  v1.1  15424012   853742   857785  1231642  1772204   704998  1623544  7158209   750859   230234
1984    3  v1.1  15716599   909854   948299  1231642  1682932   798488  1750649  7158209   750859   234188
1984    4  v1.1  15226124   816070   860944  1231642  1556075   732599  1846936  7158209   750859   101923
1984    5  v1.1  13700707   188490   570614  1231642  1374648   727376  1597331  7158209   750859    36686
1984    6  v1.1  12253081    87088    37775  1167723  1013579   695365  1371832  7130609   743829     4722
1984    7  v1.1  10217529        0     6013   643228   591537   542630   786015  6921340   726763        0
1984    8  v1.1   7938903        0        0   136011   108593   303852   364441  6447503   578500        0
1984    9  v1.1   7111240        0     1204    16490    52859   324963   176581  6063535   475605        0
1984   10  v1.1   8870272    33341     7244    57338   209905   441346   651152  6725952   743991        0
1984   11  v1.1  11319686    81786    74784   791969   683913   565367  1249616  7106141   750859     7100
1984   12  v1.1  13213142   538239   297773  1231642  1196065   564184  1434610  7109649   750859    26878
1985    1  v1.1  14963667  1060197   433480  1231642  1422160   700870  1727787  7137209   750859   212928
1985    2  v1.1  15771314  1219770   591768  1231642  1454562   813538  1848043  7151639   750859   268325
1985    3  v1.1  16137266  1271759   791541  1231642  1582759   908231  1810474  7158209   750859   281717
1985    4  v1.1  15407986   799228   804344  1231642  1382985   979076  1955404  7158209   750859   119884
1985    5  v1.1  14260927   493897   577738  1231642  1221708   819312  1834086  7158209   750859    49841
1985    6  v1.1  12445600   133640   114587  1180086   890887   702298  1535700  7141525   742655     3663
1985    7  v1.1  10158967        0     4210   664563   330986   438178   993088  7025964   701976        0
1985    8  v1.1   7504422        0        0    87559    58867   171133   287605  6355913   543343        0
1985    9  v1.1   6935105        0     1204     9725    41217   194792   126007  6119987   442172        0
1985   10  v1.1   8915441    32302    15620    42961   162931   435040   453357  7022368   750859        0
1985   11  v1.1  11417014    49598   102203   797807   637783   599762  1296609  7158209   750859    10103
1985   12  v1.1  13249869   363888   216803  1231642   797464   863055  1705805  7158209   750859    47173
1986    1  v1.1  15119253   928306   590020  1231642  1148501   998440  1837353  7158209   750859   218065
1986    2  v1.1  15987907  1268779   671165  1231642  1295524  1051297  1912413  7158209   750859   270913
1986    3  v1.1  16163104  1268176   823216  1231642  1403593  1034717  1890385  7158209   750859   277797
1986    4  v1.1  15228300   896648   698704  1231642  1191982  1074137  1927923  7158209   750859   125994
1986    5  v1.1  13545526   213863   367844  1231642   979510   879863  1849372  7158209   750859    39830
1986    6  v1.1  12139090    74384    24680  1189527   778927   736418  1558265  7024446   750859     1580
1986    7  v1.1  10496259        0     4808   631582   553860   531257  1213504  6851956   709289        0
1986    8  v1.1   8044575        0        0   114291   248178   330813   589749  6092877   668664        0
1986    9  v1.1   7553857        0     1204    35662    47164   348986   507359  6028489   584990        0
1986   10  v1.1   9922179    31374     6042   214394   546791   473188   940046  6959482   750859        0
1986   11  v1.1  11811566    53800    51217  1230036   809606   566487  1261036  7075346   750859     5600
1986   12  v1.1  13456959   354885   329873  1231642  1130352   682150  1669772  7158209   750859    45426
1987    1  v1.1  15277015  1058018   585336  1231642  1285824   885623  1817019  7151646   750859   186251
1987    2  v1.1  16209585  1301553   709197  1231642  1418658  1038777  1987416  7158209   750859   257005
1987    3  v1.1  16017587  1095091   704122  1231642  1339139  1001321  1994597  7158209   750859   267897
1987    4  v1.1  15384298   890056   657408  1231642  1360917   879761  2074741  7158209   750859   132703
1987    5  v1.1  13845327   253425   491658  1231642  1117594   821616  1907155  7158209   750859    27030
1987    6  v1.1  12612457    93435    81582  1209632   973571   749284  1625233  7126243   750859     2616
1987    7  v1.1  10814849        0     1204   845540   596651   549457  1317004  6762954   742038        0
1987    8  v1.1   7717180        0        0   153393    94747   451705   499707  5892216   625409        0
1987    9  v1.1   7512706        0     1805    60839    48486   451327   308440  6098155   543651        0
1987   10  v1.1   9331817    26341     7771    91779   342209   553868  1019262  6626640   663944        0
1987   11  v1.1  11590097    58959   107109   705056   654292   750385  1399024  7143485   750859    11550
1988    1  v1.1  15188190  1066248   568504  1231642  1243655  1045226  1820485  7158209   750859   171520
1988    2  v1.1  15732702  1214942   692679  1231642  1370233  1002166  1872023  7158209   750859   243162
1988    3  v1.1  16231491  1397730   856158  1231642  1369212  1124028  1868055  7158209   750859   262954
1988    4  v1.1  15315907   830819   868160  1231642  1190645  1074373  1947081  7158209   750859   120681
1988    5  v1.1  13750518   338161   336733  1231642  1099798   900418  1835837  7158209   750859    46003
1988    6  v1.1  12113514    81390    37718  1156919   832136   792450  1491551  7018502   695479     6256
1988    7  v1.1  10115785        0     3617   585165   436351   537398  1121747  6785371   646133        0
1988    8  v1.1   7985808        0        0   111886   127442   409998   558012  6241491   536976        0
1988    9  v1.1   7529886        0     1805     9213    26380   422085   504725  6149016   416659        0
1988   10  v1.1   9508883    20138     7795    43276    88794   567160  1170108  6954449   657159        0
1988   11  v1.1  11727820    43551   221278   419028   673194   812133  1626418  7158209   750859    12540
1988   12  v1.1  13873842   179819   576270  1231642   956220  1089759  1798824  7158209   750859    41867
1989    1  v1.1  15227711   764346   763365  1231642  1200878  1087184  1929560  7158209   750859   208733
1989    2  v1.1  15670791  1152432   583204  1231642  1449740  1064582  1902150  7158209   750859   262532
1989    3  v1.1  15621569  1082933   617183  1231642  1498076  1067011  1825627  7158209   750859   285069
1989    4  v1.1  14526319   666386   476740  1231642  1441877   872016  1732929  7158209   750859   117281
1989    5  v1.1  13048365   197370   190303  1231642  1086700   830782  1515895  7156895   750859    50680
1989    6  v1.1  12372855    75769    40181  1186087   934632   848730  1455537  7074985   749579     6798
1989    7  v1.1  10467050        0     3012   606006   505208   698469  1103690  6825152   725510        0
1989    8  v1.1   7996732        0        0   147790   125802   486828   711357  5985938   539014        0
1989    9  v1.1   7082278        0     1806    15968    71113   453110   607682  5495588   437008        0
1989   10  v1.1   9548262    24684     8367   148503   332098   520489  1000410  6805906   707801        0
1989   11  v1.1  11565367    54823   112496   853456   669364   701491  1270218  7130861   750859    12054
1989   12  v1.1  13571420   321407   365640  1231642  1021927   959736  1630542  7158209   750859    71630
1990    1  v1.1  15068129   818023   664246  1231642  1378759   896747  1767778  7149677   750859   250515
1990    2  v1.1  15687335  1191333   820561  1231642  1608804   771627  1726316  7148358   750859   278701
1990    3  v1.1  15988765  1193108   860336  1231642  1673484   887107  1827436  7158209   750859   295640
1990    4  v1.1  14790684   645467   717913  1231642  1483808   868518  1730363  7158209   750859   128745
1990    5  v1.1  13360804   165314   419937  1231642  1289023   830745  1460794  7121885   750859    59199
1990    6  v1.1  11768040    58772    28751  1082620   986071   770965  1267653  6830815   738710     3126
1990    7  v1.1   9684245        0     4219   757031   568757   557969   810224  6271371   714670        0
1990    8  v1.1   6872831        0        0   149678    56756   342117   553714  5205325   565238        0
1990    9  v1.1   6272115        0     1204    59313    56900   195277   414310  5032094   513015        0
1990   10  v1.1   9397506    38582     8391   250931   426157   457741   870344  6646827   698531        0
1990   11  v1.1  11368959    58846    81697   549544   737598   595161  1446034  7126851   750859    12056
1990   12  v1.1  13359619   308835   400741  1231642  1137003   702327  1583574  7158209   750859    39776
1991    1  v1.1  14584139   561364   664524  1231642  1488936   696772  1697341  7157552   750859   230121
1991    2  v1.1  15366355   738105   903082  1231642  1632861   828503  1689528  7158209   750859   264966
1991    3  v1.1  15599345   954615   823781  1231642  1599215   865392  1801144  7158209   750859   264864
1991    4  v1.1  15029586   839643   776214  1231642  1461544   817179  1759699  7158209   750859   145860
1991    5  v1.1  13582530   180575   455645  1231642  1288661   741447  1708107  7155692   748342    40548
1991    6  v1.1  12293986    80623    41529  1210557  1004429   690342  1431812  7097861   727928     8902
1991    7  v1.1   9764685        0     3012   335190   574613   448179  1012248  6680083   711356        0
1991    8  v1.1   7456080        0        0   127908    72422   219841   628613  5825296   581996        0
1991    9  v1.1   6589707        0     1204    27181    48480   204593   313724  5494300   500223        0
1991   10  v1.1   9198908    35663     8965    73516   201223   429828   950134  6748716   750859        0
1991   11  v1.1  11163069    47350    74594   600354   699310   614903  1376236  6979209   750859    11054
1991   12  v1.1  13208271   272007   433230  1231642  1036995   732182  1527403  7158209   750859    33780
1992    1  v1.1  14858012   879384   677167  1231642  1341044   861291  1649728  7158209   750859   211237
