Location,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
Kenya,6077,6980,8105,9505,11252,13487,16269,19651,23403,27346,31450,36048,41350,47236,53492
United Republic of Tanzania,7650,8741,10075,11684,13606,15980,18683,21837,25460,29961,34178,39411,46099,53880,62775
Central African Republic,1327,1399,1504,1649,1829,2017,2280,2634,2940,3353,3755,4128,4449,4546,4921
Egypt,20713,23523,26997,30876,35046,39188,44099,50205,57412,63714,69906,76778,84108,93778,102941
Namibia,485,538,603,683,780,905,1013,1148,1415,1655,1899,2032,2173,2426,2697
South Africa,13628,15377,17457,19942,22839,26212,29760,33730,37561,42088,45728,48821,51585,55291,58721
Nigeria,37860,41086,45138,50127,55981,63374,73461,83613,95270,108011,122352,138939,158578,181182,206153
China,554419,610834,657686,722562,824788,920945,993877,1070863,1172445,1239940,1283199,1321623,1359755,1397029,1424548
India,376325,409269,449481,497702,553579,621302,696784,781667,870133,960483,1053051,1144119,1230981,1309054,1383198
Norway,3265,3430,3583,3724,3876,4008,4086,4153,4247,4367,4499,4632,4886,5200,5450
United Kingdom,50616,51124,52433,54303,55635,56212,56265,56466,57183,57978,58951,60287,63307,65397,67334
Germany,69966,71538,73414,76256,78573,78866,78301,77717,79118,81241,81488,81671,80895,81708,82540
Costa Rica,959,1120,1333,1590,1849,2097,2389,2730,3096,3511,3925,4248,4545,4808,5044
Mexico,28013,32605,38174,44623,52030,60872,69361,77361,85358,94046,101720,108472,117319,125891,133870
Argentina,17150,18929,20619,22283,23973,26067,28106,30389,32730,34995,37057,39145,41224,43418,45510
Brazil,53975,62569,72208,83498,95327,107612,121160,135676,149352,162297,175288,186917,196796,205962,213863
Canada,13733,15738,17917,19704,21453,23156,24537,25874,27693,29330,30736,32288,34169,35950,37603
United States of America,158804,171784,186808,199816,209588,219205,229763,240824,252530,265659,281983,295130,308641,319929,331432
Australia,8177,9211,10290,11363,12843,13831,14649,15730,17041,18077,19066,20239,22120,23800,25398
New Zealand,1908,2136,2373,2627,2818,3083,3147,3268,3398,3675,3859,4135,4370,4615,4834
