First line output to a file.
   HGHT     TMPC
    345.0   1.00
    597.0  -1.10
    610.0  -0.50
    741.0   5.40
    867.0  11.00
    914.0  10.80
   1219.0   9.40
   1271.0   9.20
   1300.0  10.20
   1358.0  11.00
   1446.0  11.60
   1666.0  13.20
   1829.0  12.70
   2007.0  12.20
   2134.0  11.10
   2438.0   8.50
   2743.0   5.90
   3055.0   3.20
   3658.0  -1.50
   3962.0  -3.90
   4267.0  -6.20
   4735.0  -9.90
   4877.0 -10.80
   5196.0 -12.70
   5680.0 -16.70
   6096.0 -20.40
   6401.0 -23.20
   6526.0 -24.30
   6842.0 -26.30
   7310.0 -30.10
   7417.0 -31.10
   7620.0 -32.90
   7841.0 -34.90
   8534.0 -40.40
   8898.0 -43.30
   9144.0 -44.00
   9290.0 -44.50
   9449.0 -45.50
   9916.0 -48.30
  10058.0 -49.50
  10490.0 -53.10
  10668.0 -54.30
  11361.0 -59.10
  11477.0 -59.50
  11582.0 -59.60
  11887.0 -59.90
  11900.0 -59.90
  12192.0 -59.80
  12497.0 -59.70
  12802.0 -59.60
  13411.0 -59.40
  13700.0 -59.30
  13716.0 -59.30
  14043.0 -59.50
  14882.0 -63.30
  14935.0 -63.20
  16154.0 -61.20
  16210.0 -61.10
