CHICAGO OHARE IN0.0001L AP
date,mint,avgt,maxt,pcpn,snow,snwd
2010-01-01,5,10.5,16,0.0001,0.0001,2
2010-01-02,2,6.5,11,0.00,0.0,2
2010-01-03,-1,8.5,18,0.0001,0.0001,2
2010-01-04,7,12.5,18,0.0001,0.0001,2
2010-01-05,13,18.0,23,0.0001,0.0001,2
2010-01-06,10,15.0,20,0.01,0.1,2
2010-01-07,16,19.0,22,0.27,3.9,3
2010-01-08,11,19.0,27,0.27,3.5,8
2010-01-09,6,14.0,22,0.00,0.0,7
2010-01-10,-0,9.0,18,0.0001,0.0001,6
2010-01-11,15,20.5,26,0.0001,0.0001,6
2010-01-12,20,25.5,31,0.0001,0.0001,5
2010-01-13,19,27.0,35,0.00,0.0,5
2010-01-14,31,35.5,40,0.00,0.0,5
2010-01-15,25,29.5,34,0.0001,0.0001,2
2010-01-16,23,25.0,27,0.00,0.0,2
2010-01-17,19,24.0,29,0.0001,0.0001,2
2010-01-18,27,29.0,31,0.0001,0.0001,2
2010-01-19,27,32.5,38,0.00,0.0,2
2010-01-20,24,28.5,33,0.01,0.0001,2
2010-01-21,30,32.5,35,0.08,0.0,2
2010-01-22,33,34.0,35,0.0001,0.0,2
2010-01-23,34,39.0,44,0.0001,0.0,1
2010-01-24,30,38.0,46,0.49,0.0,0
2010-01-25,19,25.5,32,0.0001,0.5,0
2010-01-26,12,18.0,24,0.0001,0.2,0
2010-01-27,9,16.0,23,0.0001,0.9,1
2010-01-28,6,11.5,17,0.00,0.0,1
2010-01-29,5,13.0,21,0.0001,0.0001,1
2010-01-30,18,21.5,25,0.0001,0.0001,1
2010-01-31,15,22.0,29,0.00,0.0,1
2010-02-01,14,22.0,30,0.0001,0.0001,0
2010-02-02,25,28.5,32,0.10,2.1,1
2010-02-03,23,27.5,32,0.00,0.0,1
2010-02-04,21,27.0,33,0.00,0.0,1
2010-02-05,30,32.5,35,0.02,0.2,1
2010-02-06,25,28.0,31,0.0001,0.0001,0
2010-02-07,23,27.0,31,0.0001,0.0001,0
2010-02-08,20,25.0,30,0.0001,0.0001,0
2010-02-09,23,25.5,28,0.65,12.6,1
2010-02-10,17,21.5,26,0.02,0.3,9
2010-02-11,10,20.0,30,0.00,0.0,7
2010-02-12,10,21.0,32,0.00,0.0,6
2010-02-13,11,20.5,30,0.00,0.0,5
2010-02-14,9,19.0,29,0.00,0.0,5
2010-02-15,6,17.0,28,0.0001,0.3,4
2010-02-16,25,28.5,32,0.0001,0.0001,5
2010-02-17,26,29.0,32,0.00,0.0,4
2010-02-18,25,32.0,39,0.00,0.0,3
2010-02-19,19,30.5,42,0.00,0.0,2
2010-02-20,30,34.5,39,0.01,0.2,2
2010-02-21,33,34.5,36,0.36,2.0,2
2010-02-22,29,31.0,33,0.14,1.1,4
2010-02-23,22,27.5,33,0.0001,0.0001,3
2010-02-24,21,25.0,29,0.34,3.6,3
2010-02-25,18,23.0,28,0.0001,0.0001,5
2010-02-26,17,24.0,31,0.0001,0.0001,5
2010-02-27,28,31.0,34,0.0001,0.1,4
2010-02-28,32,35.0,38,0.0001,0.0001,4
2010-03-01,27,31.5,36,0.00,0.0,3
2010-03-02,23,28.0,33,0.00,0.0,3
2010-03-03,24,31.5,39,0.00,0.0,3
2010-03-04,22,32.0,42,0.00,0.0,2
2010-03-05,23,30.5,38,0.00,0.0,1
2010-03-06,20,32.5,45,0.00,0.0,0
2010-03-07,26,36.0,46,0.03,0.0,0
2010-03-08,33,38.5,44,0.00,0.0,0
2010-03-09,32,41.5,51,0.01,0.0,0
2010-03-10,46,54.0,62,0.07,0.0,0
2010-03-11,44,52.0,60,0.34,0.0,0
2010-03-12,40,47.5,55,0.01,0.0,0
2010-03-13,41,43.0,45,0.61,0.0,0
2010-03-14,40,45.0,50,0.0001,0.0,0
2010-03-15,39,43.5,48,0.00,0.0,0
2010-03-16,35,48.0,61,0.00,0.0,0
2010-03-17,32,47.5,63,0.00,0.0,0
2010-03-18,41,51.0,61,0.00,0.0,0
2010-03-19,39,52.0,65,0.00,0.0,0
2010-03-20,31,35.0,39,0.42,1.8,0
2010-03-21,33,37.5,42,0.02,0.0001,0
2010-03-22,34,41.5,49,0.00,0.0,0
2010-03-23,28,43.5,59,0.00,0.0,0
2010-03-24,35,44.0,53,0.00,0.0,0
2010-03-25,29,38.0,47,0.03,0.0,0
2010-03-26,27,34.0,41,0.00,0.0,0
2010-03-27,31,40.5,50,0.01,0.0,0
2010-03-28,37,44.5,52,0.00,0.0,0
2010-03-29,30,38.0,46,0.00,0.0,0
2010-03-30,29,46.5,64,0.00,0.0,0
2010-03-31,51,64.0,77,0.00,0.0,0
2010-04-01,54,68.5,83,0.00,0.0,0
2010-04-02,59,70.0,81,0.00,0.0,0
2010-04-03,49,54.0,59,0.18,0.0,0
2010-04-04,39,57.5,76,0.80,0.0,0
2010-04-05,50,61.0,72,0.82,0.0,0
2010-04-06,47,61.5,76,0.37,0.0,0
2010-04-07,37,43.0,49,0.13,0.0,0
2010-04-08,34,37.0,40,0.0001,0.0001,0
2010-04-09,30,43.0,56,0.00,0.0,0
2010-04-10,38,56.0,74,0.00,0.0,0
2010-04-11,44,53.5,63,0.00,0.0,0
2010-04-12,44,57.0,70,0.01,0.0,0
2010-04-13,48,55.5,63,0.00,0.0,0
2010-04-14,46,63.0,80,0.00,0.0,0
2010-04-15,61,71.5,82,0.00,0.0,0
2010-04-16,39,53.5,68,0.00,0.0,0
2010-04-17,37,48.0,59,0.00,0.0,0
2010-04-18,36,44.0,52,0.00,0.0,0
2010-04-19,35,45.5,56,0.00,0.0,0
2010-04-20,38,51.0,64,0.00,0.0,0
2010-04-21,41,51.5,62,0.0001,0.0,0
2010-04-22,38,49.0,60,0.00,0.0,0
2010-04-23,41,52.0,63,0.07,0.0,0
2010-04-24,51,55.5,60,0.26,0.0,0
2010-04-25,47,53.5,60,0.31,0.0,0
2010-04-26,47,55.0,63,0.00,0.0,0
2010-04-27,37,44.0,51,0.00,0.0,0
2010-04-28,33,48.5,64,0.00,0.0,0
2010-04-29,46,62.5,79,0.00,0.0,0
2010-04-30,62,71.5,81,0.06,0.0,0
2010-05-01,58,64.0,70,0.11,0.0,0
2010-05-02,53,61.0,69,0.93,0.0,0
2010-05-03,50,61.0,72,0.00,0.0,0
2010-05-04,50,64.5,79,0.00,0.0,0
2010-05-05,56,64.0,72,0.0001,0.0,0
2010-05-06,46,54.5,63,0.01,0.0,0
2010-05-07,45,52.0,59,0.72,0.0,0
2010-05-08,42,46.0,50,0.02,0.0,0
2010-05-09,38,48.0,58,0.00,0.0,0
2010-05-10,41,49.5,58,0.0001,0.0,0
2010-05-11,44,48.0,52,0.97,0.0,0
2010-05-12,44,47.5,51,0.12,0.0,0
2010-05-13,48,60.5,73,1.49,0.0,0
2010-05-14,47,56.5,66,0.00,0.0,0
2010-05-15,43,52.0,61,0.00,0.0,0
2010-05-16,41,53.5,66,0.00,0.0,0
2010-05-17,50,54.0,58,0.01,0.0,0
2010-05-18,46,55.5,65,0.00,0.0,0
2010-05-19,44,59.0,74,0.00,0.0,0
2010-05-20,47,60.5,74,0.05,0.0,0
2010-05-21,56,64.5,73,0.21,0.0,0
2010-05-22,58,66.0,74,0.00,0.0,0
2010-05-23,62,75.5,89,0.00,0.0,0
2010-05-24,70,80.5,91,0.00,0.0,0
2010-05-25,69,78.5,88,0.00,0.0,0
2010-05-26,66,76.5,87,0.0001,0.0,0
2010-05-27,61,69.0,77,0.00,0.0,0
2010-05-28,57,68.0,79,0.00,0.0,0
2010-05-29,59,72.5,86,0.00,0.0,0
2010-05-30,61,76.0,91,0.00,0.0,0
2010-05-31,66,73.5,81,0.26,0.0,0
2010-06-01,63,74.0,85,0.00,0.0,0
2010-06-02,57,67.0,77,1.02,0.0,0
2010-06-03,56,63.5,71,0.00,0.0,0
2010-06-04,57,70.0,83,0.00,0.0,0
2010-06-05,60,69.5,79,0.15,0.0,0
2010-06-06,55,65.5,76,0.0001,0.0,0
2010-06-07,54,62.0,70,0.00,0.0,0
2010-06-08,58,62.5,67,0.45,0.0,0
2010-06-09,65,74.0,83,0.00,0.0,0
2010-06-10,58,67.5,77,0.00,0.0,0
2010-06-11,64,76.5,89,0.02,0.0,0
2010-06-12,62,69.5,77,0.34,0.0,0
2010-06-13,62,66.5,71,0.25,0.0,0
2010-06-14,60,65.0,70,0.0001,0.0,0
2010-06-15,60,69.5,79,0.59,0.0,0
2010-06-16,63,72.5,82,0.00,0.0,0
2010-06-17,64,74.0,84,0.00,0.0,0
2010-06-18,67,78.5,90,0.87,0.0,0
2010-06-19,66,75.5,85,0.00,0.0,0
2010-06-20,64,72.5,81,0.0001,0.0,0
2010-06-21,67,76.0,85,0.22,0.0,0
2010-06-22,69,77.0,85,0.00,0.0,0
2010-06-23,69,78.0,87,0.87,0.0,0
2010-06-24,65,74.5,84,0.00,0.0,0
2010-06-25,62,73.0,84,0.00,0.0,0
2010-06-26,69,78.0,87,0.85,0.0,0
2010-06-27,72,78.5,85,0.54,0.0,0
2010-06-28,63,72.5,82,0.00,0.0,0
2010-06-29,59,67.0,75,0.00,0.0,0
2010-06-30,56,65.5,75,0.00,0.0,0
2010-07-01,55,66.0,77,0.00,0.0,0
2010-07-02,59,71.0,83,0.00,0.0,0
2010-07-03,60,73.5,87,0.00,0.0,0
2010-07-04,68,79.5,91,0.00,0.0,0
2010-07-05,78,84.5,91,0.00,0.0,0
2010-07-06,73,81.5,90,0.37,0.0,0
2010-07-07,71,82.0,93,0.20,0.0,0
2010-07-08,73,80.5,88,0.16,0.0,0
2010-07-09,70,79.0,88,0.0001,0.0,0
2010-07-10,69,79.0,89,0.00,0.0,0
2010-07-11,66,75.5,85,0.79,0.0,0
2010-07-12,65,74.5,84,0.0001,0.0,0
2010-07-13,70,77.0,84,0.17,0.0,0
2010-07-14,70,80.0,90,0.00,0.0,0
2010-07-15,71,80.5,90,0.01,0.0,0
2010-07-16,67,78.5,90,0.00,0.0,0
2010-07-17,71,82.0,93,0.00,0.0,0
2010-07-18,72,82.0,92,0.01,0.0,0
2010-07-19,69,76.5,84,0.01,0.0,0
2010-07-20,68,77.0,86,0.0001,0.0,0
2010-07-21,72,81.5,91,0.00,0.0,0
2010-07-22,69,79.5,90,0.01,0.0,0
2010-07-23,70,82.0,94,2.79,0.0,0
2010-07-24,69,78.0,87,3.64,0.0,0
2010-07-25,66,73.5,81,0.00,0.0,0
2010-07-26,61,72.5,84,0.00,0.0,0
2010-07-27,68,78.0,88,0.00,0.0,0
2010-07-28,73,80.5,88,0.00,0.0,0
2010-07-29,67,74.5,82,0.00,0.0,0
2010-07-30,69,74.5,80,0.0001,0.0,0
2010-07-31,65,72.5,80,0.68,0.0,0
2010-08-01,65,75.5,86,0.00,0.0,0
2010-08-02,67,75.5,84,0.0001,0.0,0
2010-08-03,66,76.0,86,0.28,0.0,0
2010-08-04,71,77.0,83,0.48,0.0,0
2010-08-05,68,75.5,83,0.00,0.0,0
2010-08-06,64,73.0,82,0.00,0.0,0
2010-08-07,62,72.5,83,0.00,0.0,0
2010-08-08,69,78.0,87,0.08,0.0,0
2010-08-09,72,80.0,88,0.15,0.0,0
2010-08-10,75,82.0,89,0.00,0.0,0
2010-08-11,75,82.5,90,0.00,0.0,0
2010-08-12,74,83.0,92,0.00,0.0,0
2010-08-13,73,82.5,92,0.25,0.0,0
2010-08-14,72,80.0,88,0.0001,0.0,0
2010-08-15,66,74.5,83,0.00,0.0,0
2010-08-16,63,71.5,80,0.00,0.0,0
2010-08-17,64,71.5,79,0.03,0.0,0
2010-08-18,63,73.5,84,0.05,0.0,0
2010-08-19,66,77.0,88,0.00,0.0,0
2010-08-20,71,81.5,92,0.03,0.0,0
2010-08-21,71,78.5,86,0.45,0.0,0
2010-08-22,68,74.5,81,0.00,0.0,0
2010-08-23,65,72.5,80,0.00,0.0,0
2010-08-24,64,74.0,84,0.0001,0.0,0
2010-08-25,61,70.0,79,0.00,0.0,0
2010-08-26,59,69.0,79,0.00,0.0,0
2010-08-27,59,72.5,86,0.00,0.0,0
2010-08-28,65,76.5,88,0.00,0.0,0
2010-08-29,71,82.5,94,0.00,0.0,0
2010-08-30,74,81.0,88,0.00,0.0,0
2010-08-31,75,84.0,93,0.00,0.0,0
2010-09-01,71,76.0,81,0.17,0.0,0
2010-09-02,65,74.0,83,1.55,0.0,0
2010-09-03,56,63.0,70,0.0001,0.0,0
2010-09-04,51,59.5,68,0.0001,0.0,0
2010-09-05,49,62.5,76,0.0001,0.0,0
2010-09-06,66,74.0,82,0.0001,0.0,0
2010-09-07,58,67.5,77,0.00,0.0,0
2010-09-08,51,61.0,71,0.00,0.0,0
2010-09-09,50,58.5,67,0.00,0.0,0
2010-09-10,55,63.5,72,0.00,0.0,0
2010-09-11,58,66.5,75,0.24,0.0,0
2010-09-12,54,68.5,83,0.00,0.0,0
2010-09-13,57,69.5,82,0.00,0.0,0
2010-09-14,54,65.5,77,0.00,0.0,0
2010-09-15,59,67.0,75,0.0001,0.0,0
2010-09-16,53,61.0,69,0.16,0.0,0
2010-09-17,49,61.5,74,0.00,0.0,0
2010-09-18,58,61.5,65,0.35,0.0,0
2010-09-19,55,61.0,67,0.0001,0.0,0
2010-09-20,62,68.5,75,0.0001,0.0,0
2010-09-21,68,78.0,88,0.05,0.0,0
2010-09-22,63,68.5,74,0.00,0.0,0
2010-09-23,65,77.0,89,0.00,0.0,0
2010-09-24,56,68.0,80,0.26,0.0,0
2010-09-25,52,56.0,60,0.00,0.0,0
2010-09-26,50,55.0,60,0.0001,0.0,0
2010-09-27,48,56.5,65,0.00,0.0,0
2010-09-28,46,58.5,71,0.00,0.0,0
2010-09-29,52,63.5,75,0.00,0.0,0
2010-09-30,52,63.0,74,0.00,0.0,0
2010-10-01,48,60.5,73,0.08,0.0,0
2010-10-02,45,51.0,57,0.26,0.0,0
2010-10-03,42,49.0,56,0.08,0.0,0
2010-10-04,38,49.0,60,0.00,0.0,0
2010-10-05,39,53.5,68,0.00,0.0,0
2010-10-06,46,62.0,78,0.00,0.0,0
2010-10-07,49,62.5,76,0.00,0.0,0
2010-10-08,48,63.5,79,0.00,0.0,0
2010-10-09,55,70.5,86,0.00,0.0,0
2010-10-10,57,70.5,84,0.00,0.0,0
2010-10-11,54,68.0,82,0.00,0.0,0
2010-10-12,52,64.0,76,0.00,0.0,0
2010-10-13,47,56.5,66,0.10,0.0,0
2010-10-14,43,54.5,66,0.00,0.0,0
2010-10-15,44,53.5,63,0.00,0.0,0
2010-10-16,40,55.5,71,0.00,0.0,0
2010-10-17,47,56.0,65,0.00,0.0,0
2010-10-18,43,52.0,61,0.00,0.0,0
2010-10-19,39,49.5,60,0.00,0.0,0
2010-10-20,44,57.0,70,0.0001,0.0,0
2010-10-21,38,47.0,56,0.00,0.0,0
2010-10-22,33,48.5,64,0.02,0.0,0
2010-10-23,54,59.5,65,0.10,0.0,0
2010-10-24,54,63.0,72,0.05,0.0,0
2010-10-25,56,64.0,72,0.00,0.0,0
2010-10-26,54,62.0,70,0.24,0.0,0
2010-10-27,43,54.0,65,0.00,0.0,0
2010-10-28,39,42.5,46,0.0001,0.0,0
2010-10-29,31,40.5,50,0.00,0.0,0
2010-10-30,42,52.5,63,0.00,0.0,0
2010-10-31,36,44.0,52,0.00,0.0,0
2010-11-01,32,43.0,54,0.00,0.0,0
2010-11-02,32,42.0,52,0.00,0.0,0
2010-11-03,31,42.5,54,0.01,0.0,0
2010-11-04,38,44.5,51,0.01,0.0,0
2010-11-05,28,34.0,40,0.00,0.0,0
2010-11-06,25,35.5,46,0.00,0.0,0
2010-11-07,35,47.0,59,0.00,0.0,0
2010-11-08,38,52.5,67,0.00,0.0,0
2010-11-09,40,54.5,69,0.00,0.0,0
2010-11-10,43,55.5,68,0.00,0.0,0
2010-11-11,46,56.5,67,0.34,0.0,0
2010-11-12,48,52.0,56,0.0001,0.0,0
2010-11-13,39,48.0,57,0.03,0.0,0
2010-11-14,37,42.5,48,0.08,0.0,0
2010-11-15,32,41.5,51,0.00,0.0,0
2010-11-16,32,41.0,50,0.00,0.0,0
2010-11-17,37,42.0,47,0.0001,0.0,0
