YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,avg
1951,2.5,1.5,-0.2,-0.5,-1.1,0.3,-1.7,-0.4,-1.8,-1.6,-1.3,-1.2,-0.4583333333333334
1952,-1.5,-1.0,0.9,-0.4,1.2,1.2,0.8,0.1,-0.4,0.6,0.0,-2.0,-0.041666666666666685
1953,0.5,-0.8,-0.3,0.3,-2.8,0.2,-0.0,-2.0,-2.1,0.1,-0.5,-0.8,-0.6833333333333335
1954,1.1,-0.5,0.4,1.1,0.8,0.2,0.7,1.8,0.3,0.4,0.2,2.3,0.7333333333333334
1955,-0.9,3.1,1.1,-0.2,1.7,2.2,2.6,2.4,2.2,2.5,2.0,1.6,1.6916666666666667
1956,2.2,2.7,2.2,1.5,2.3,1.8,1.8,2.0,0.1,2.9,0.2,1.8,1.7916666666666667
1957,1.0,-0.1,0.3,0.4,-1.1,0.3,0.4,-0.8,-1.5,0.1,-1.6,-0.5,-0.25833333333333336
1958,-3.1,-0.8,0.4,0.6,-0.8,0.5,0.7,1.5,-0.5,0.1,-0.7,-1.0,-0.25833333333333336
1959,-1.5,-2.3,2.1,0.7,0.8,-0.2,-0.4,-0.2,0.0,0.8,1.5,1.5,0.2333333333333333
1960,0.2,0.2,1.7,1.3,0.9,0.2,0.8,1.3,1.1,0.2,0.9,1.3,0.8416666666666667
1961,-0.4,1.5,-3.0,1.3,0.5,0.2,0.4,0.2,0.1,-0.5,0.9,2.5,0.30833333333333335
1962,3.3,-0.5,0.2,0.3,1.8,1.2,0.1,1.0,0.7,1.6,0.5,0.3,0.875
1963,1.7,0.9,1.9,1.3,0.6,-0.8,-0.2,0.0,-1.0,-2.0,-1.4,-2.0,-0.0833333333333333
1964,-0.6,0.1,1.9,1.8,0.4,1.2,0.9,2.5,2.1,2.2,0.3,-0.5,1.0250000000000001
1965,-0.7,0.7,1.2,-0.9,0.3,-0.9,-3.0,-1.1,-2.2,-1.5,-2.4,0.3,-0.85
1966,-2.2,-0.4,-1.5,-0.3,-0.7,0.5,0.1,1.1,-0.4,-0.2,-0.0,-0.6,-0.3833333333333333
1967,2.8,2.8,2.0,-0.1,-0.0,1.1,0.3,1.2,0.8,0.1,-0.7,-0.9,0.7833333333333333
1968,0.9,2.1,0.2,0.0,2.1,1.8,1.1,0.4,-0.4,-0.1,-0.6,0.3,0.6500000000000001
1969,-2.4,-0.9,0.7,-0.6,-0.4,0.3,-0.8,-0.2,-1.6,-1.5,-0.1,0.7,-0.5666666666666667
1970,-1.9,-1.7,1.0,-0.1,0.6,1.6,-0.6,1.0,1.9,1.7,2.6,3.2,0.775
1971,0.6,3.3,3.8,2.8,1.4,0.7,0.4,2.5,2.3,2.8,0.9,0.4,1.825
1972,0.8,1.8,1.1,-0.2,-2.6,-0.9,-2.4,-0.8,-2.2,-1.5,-0.6,-2.1,-0.7999999999999999
1973,-0.5,-2.3,1.2,0.1,0.7,1.8,1.0,2.1,2.0,1.3,4.3,3.0,1.2249999999999999
1974,4.0,3.4,4.0,1.6,1.6,0.7,1.9,1.3,1.8,1.5,-0.2,0.3,1.8250000000000002
